,uid,title,pubyear,doi,journal,authors,abstract
308,1974769223,the phonological awareness abilities of cantonese speaking children with phonological disorder,2007,10.1179/136132807805297431,"Asia Pacific journal of speech, language, and hearing","Lydia K. H. So, Barbara Dodd","Abstract Many English-speaking children with disordered speech have persistent phonological awareness (PA) difficulties and struggle to acquire literacy. Some researchers argue that both spoken and written disorders are symptoms of an underlying deficit in PA. This hypothesis is examined by comparing the PA abilities of Cantonese-speaking children with speech disorders and controls, as previous research indicates that typical adults in Hong Kong have limited PA skills. Participants were 46 monolingual Cantonese-speaking children whose chronologic age ranged from 3;11 to 6;08. All the children were exposed to logographic literacy learning. Tasks investigated awareness of the speech signal: syllable, onset-rime, phoneme, and tone awareness. Other tasks evaluated children's knowledge of the Cantonese phonological system: identification and repair of phonological errors and judgment of legality. The two groups performed no differently on tasks assessing awareness of the speech signal. Chilawaredren with speec..."
309,1974843622,language impairment at school entry and later reading disability connections at lexical versus supralexical levels of reading,2004,10.1207/s1532799xssr0801_5,Scientific Studies of Reading,"David L. Share, Mark Leikin","This study employed the distinction between lexical and supralexical processes in reading in order to gain a more fine-grained picture of the relationships between early language impairment and later reading disabilities. We hypothesized that early semantic-syntactic deficits would be only weakly related, if at all, to the characteristically modular word recognition processes involved in reading isolated words and pseudowords. On the other hand, early language deficiencies were expected to be significantly associated with processes operating beyond the level of individual words when children are required to read and understand connected text. These predictions were tested using data from a longitudinal study of over 500 unselected children followed from kindergarten to the end of Grade 1. Both traditional categorical analyses of specific subgroups with early language impairment or later reading disability as well as dimensional (regression) analyses were carried out. As predicted, higher order language wa..."
310,1975041584,reading achievement growth in children with language impairments,2008,10.1044/1092-4388(2008/07-0259,Journal of Speech Language and Hearing Research,"Hugh W. Catts, Mindy Sittner Bridges, Todd D. Little, J. Bruce Tomblin","It is well recognized that oral language development lays the foundation for reading achievement (Catts, Fey, Zhang, & Tomblin, 1999; NICHD Early Child Care Research Network, 2005; Storch & Whitehurst, 2002). Children with typical language (TL) development generally demonstrate normal reading achievement, whereas those with spoken language impairments (LI) often experience significant problems learning to read. Over the last 20 years, numerous studies have documented the poor reading outcomes of children with LI (Bishop & Adams, 1990; Botting, Simkin, & Conti-Ramsden, 2006; Catts, 1993; Catts, Fey, Tomblin, & Zhang, 2002; Menyuk et al., 1991; Naucler & Magnusson, 1998; Roth, Cooper, & Speece, 2002; Silva, McGee, & Williams, 1987; Tallal, Curtis, & Kaplan, 1989). Most of these studies have focused on early reading outcomes and have revealed the difficulties that these children have acquiring basic literacy skills. Few investigations, however, have system-atically followed children with LI into middle and high school (but see Snowling, Bishop, & Stothard, 2000). As a result, very little information is available concerning the growth of reading achievement across the school grades in this population.

The reading achievement growth trajectories of children with LI could take several forms when compared with those of children with TL development. Children with LI could show lower initial reading achievement but parallel growth over the school years. This has been referred to as a deficit model ofreading growth (Francis, Shaywitz, Stuebing, Shaywitz, & Fletcher, 1996). Alternatively, children with LI could demonstrate lower initial reading achievement but accelerated growth, which would allow them to catch up to their TL peers during the later school years. This pattern is known as a developmental lag or delayed pattern of reading growth (Francis et al., 1996). Finally, children with LI could get off to a slow start in reading achievement as well as demonstrate slower growth. This would lead to a widening ofthe gap in reading achievement between them and their TL peers. The latter pattern is characteristic of what some have called the Matthew effect (Stanovich, 1986) and of what others have referred to as a cumulative trajectory model of achievement (Leppanen, Niemi, Aunola, & Nurmi, 2004).

Variability in reading growth has been studied within the general population for some time. In a seminal article, Juel (1988) identified good and poor readers in first grade and compared their reading outcomes in fourth grade. She found that good readers typically remained good readers and that poor readers seldom “caught up” in reading achievement. Such results are supportive of either a deficit or cumulative trajectory pattern. Others have reported specific evidence of a cumulative trajectory pattern in which poor readers have continued to fall further and further behind good readers (Bast & Reitsma, 1998; Hayes & Grether, 1983; McKinney & Feagans, 1984; Williamson, Appelbaum, & Epanchin, 1991). For example, Bast and Reitsma (1998) reported an increase in variability in children's word reading scores in kindergarten through second grade but not through third grade. This increase in variability is indicative of the spreading out of growth trajectories (i.e., fan effect) associated with the Matthew effect.

The most comprehensive examination of the variability in reading growth in the general population was conducted in the Connecticut Longitudinal Study (Francis et al., 1996; Shaywitz et al., 1995). In an initial study, Shaywitz et al. (1995) followed approximately 400 children from first through sixth grade and reported no evidence of a cumulative growth trajectory pattern among poor readers. In a follow-up study, Francis et al. (1996) used individual growth curve analysis to test a deficit versus a developmental lag model of reading growth. They examined reading achievement from first to ninth grades in normal readers and two groups ofpoor readers from the sample. Results showed that all three groups displayed a quadratic growth pattern characterized by sharp initial growth through sixth grade and a plateau thereafter. Consistent with a deficit model, poor readers differed significantly from normal readers in initial level ofreading achievement but did not differ significantly in the rate of development (i.e., shape of growth curve). Others have also reported no evidence of widening of the achievement gap between good and poor readers (Baker, Decker, & DeFries, 1984; Scarborough & Parker, 2003).

Although information about the long-term reading achievement of children with LI is limited, there are a few relevant studies. Beitchman, Nair, Clegg, and Patel (1986) identified a large group of children with LI (N = 142) from an epidemiologic sample of 5-year-old children. Follow-up testing of their academic outcomes was conducted at 12 and 19 years of age (Johnson et al., 1999; Young et al., 2002). The researchers reported that children with LI performed significantly less well in reading achievement than normal controls at each age. However, no direct comparisons of growth in reading were made. In another longitudinal study, Bishop, Snowling, and colleagues identified a convenience sample of children with LI at 4 years of age (N = 87) and conducted follow-up testing when the children were 5, 8, and 15 years of age (Bishop & Adams, 1990; Snowling et al., 2000). Reading achievement was assessed at the latter two time points with different measures. However, the researchers made comparisons between ages on the basis of standard scores. Although not optimal, these data provide some suggestions concerning reading growth. Snowling et al. (2000) reported that children with LI, specifically those with specific LI, showed a decline in reading achievement relative to normal controls between 8 and 15 years of age. This apparent cumulative growth pattern was particularly the case for word recognition in children whose performance IQ was less than 100.

Whereas the above studies provide some initial information about reading achievement growth in children with LI, they were not optimally designed to measure growth across the school years. In the present investigation, we used data from the Child Language Research Study (Tomblin, 1995) to directly examine the reading achievement growth trajectories from 2nd to 10th grade of children with LI. In this study, children with LI and children with TL were identified in kindergarten, and their reading achievement was assessed with multiple measures of word recognition and reading comprehension in 2nd, 4th, 8th, and 10th grades. Latent growth curve (LGC) analysis was used to compare the reading achievement growth trajectories of these groups of children."
311,1975627359,linguistic profiles of dyslexic and good readers,1991,10.1007/BF02648088,Annals of Dyslexia,"Nathlie A. Badian, Frank H. Duffy, Heidelise Als, Gloria B. McAnulty","Linguistic profiles of 60 boys with average intelligence were examined at kindergarten, grade 2, and grade 4. The subjects were 7 dyslexic, 7 mildly dyslexic, 30 average, and 16 good readers, defined in terms of the discrepancy between standardized reading and intelligence scores. Across the three ages, reader groups did not differ in language comprehension, but did differ in confrontation and rapid automatized naming (RAN), three syntactic measures, and verbal memory. Group strengths and weaknesses were, with few exceptions apparent in kindergarten and maintained throughout. The kindergarten tasks which most effectively predicted reading group membership at grade 4 were giving letter sounds, and rapid naming; these predicted 4th grade reading group at close to 100 percent accuracy. The study, together with a further comparison of average and high IQ good readers, provides an interesting contrast between the role of RAN and Confrontation naming in reading."
312,1975634780,the role of speed of processing rapid naming and phonological awareness in reading achievement,2002,10.1177/00222194020350060301,Journal of Learning Disabilities,"Hugh W. Catts, Matthew Gillispie, Laurence B. Leonard, Robert Kail, Carol A. Miller","This study investigated the role of speed of processing, rapid naming, and phonological awareness in reading achievement. Measures of response time in motor, visual, lexical, grammatical, and phonological tasks were administered to 279 children in third grade. Measures of rapid object naming, phonological awareness, and reading achievement were given in second and fourth grades. Reading group comparisons indicated that poor readers were proportionally slower than good readers across response time measures and on the rapid object naming task. These results suggest that some poor readers have a general deficit in speed of processing and that their problems in rapid object naming are in part a reflection of this deficit. Hierarchical regression analyses further showed that when considered along with IQ and phonological awareness, speed of processing explained unique variance in reading achievement. This finding suggests that a speed of processing deficit may be an “extraphonological” factor in some reading d..."
313,1975944286,early identification of reading difficulties using heterogeneous developmental trajectories,2008,10.1037/0022-0663.100.1.192,Journal of Educational Psychology,"Christy K. Boscardin, Bengt Muthén, David J. Francis, Eva L. Baker","Serious conceptual and procedural problems associated with current diagnostic methods call for alternative approaches to assessing and diagnosing students with reading problems. This study presents a new analytic model to improve the classification and prediction of children's reading development. Growth mixture modeling was used to identify the presence of 10 different heterogeneous developmental patterns. In all, 411 children in kindergarten through Grade 2 from 3 elementary schools in Texas were administered measures of phonological awareness, word recognition, and rapid naming skills 4 times a year. The mean ages were 5.8 years (SD = 0.35) for the kindergartners, 6.9 years (SD = 0.39) for Grade 1, and 8.0 years (SD = 0.43) for Grade 2; the percentage of boys was 50%. The results indicate that precursor reading skills such as phonological awareness and rapid naming are highly predictive of word reading (word recognition) and that developmental profiles formed in kindergarten are directly associated with development in Grades 1 and 2. Students identified as having reading-related difficulties in kindergarten exhibited slower development of word recognition skills in subsequent years of the study."
314,1975998563,what is phonological awareness,1995,10.1037//0022-0663.87.2.179,Journal of Educational Psychology,Catherine McBride-Chang,"Phonological awareness was hypothesized to be composed of at least 3 component skills- IQ, verbal short-term memory, and speech perception. In addition, 4 linguistic manipulations within 3 phonological awareness tasks were theorized to affect item difficulties. Multiple measures of IQ, verbal short-term memory, speech perception, and phonological awareness were administered to 136 3rd and 4th graders. Application of structural equation modeling revealed that IQ, speech perception, and verbal short-term memory each contributed unique variance to the phonological awareness construct. All 4 experimental linguistic manipulations influenced phonological awareness item difficulties as well. Results underscore the importance of speech perception for phonological awareness"
315,1976072701,longitudinal predictors of reading and spelling across languages varying in orthographic consistency,2012,10.1007/s11145-010-9271-x,Reading and Writing,"George K. Georgiou, Minna Torppa, George Manolitsis, Heikki Lyytinen, Rauno Parrila","We examined the longitudinal predictors of nonword decoding, reading fluency, and spelling in three languages that vary in orthographic depth: Finnish, Greek, and English. Eighty-two English-speaking, 70 Greek, and 88 Finnish children were followed from the age of 5.5 years old until Grade 2. Prior to any reading instruction, they were administered measures of phonological awareness, letter knowledge, and rapid naming speed. In Grade 2, they were administered measures of nonword decoding, text-reading fluency, and spelling. The results showed that the model for nonword decoding in Greek was similar to that of Finnish (both have consistent grapheme-to-phoneme mappings) while the model for spelling in Greek was similar to that of English (both have some inconsistent phoneme-to-grapheme mappings). In addition, the models for nonword decoding and spelling in Finnish were similar, because Finnish is consistent in both directions. Letter knowledge dominated the prediction in each language. The predictable role of orthographic consistency on literacy acquisition is discussed."
316,1976405615,naming speed deficits in reading disability multiple measures of a singular process,1991,10.1016/0022-0965(91)90032-N,Journal of Experimental Child Psychology,"Patricia Greig Bowers, Lynn Butson Swanson","Speed of word identification is important in the theories of reading proposed by La Berge and Samuels (1974) and Perfetti (1985), and is substantially correlated with reading skill. However, there is controversy about whether disabled readers have a speed deficit that is restricted to the identification of printed words, or if instead, they have a more general speed deficit in retrieving names of even single digits. To investigate this issue, poor and average readers (N = 43) in grade 2 were assessed on several indices of speed of digit and letter naming, using both continuous-list and discrete-trial methodologies. MANCOVA indicated clear effects of reader group on discrete-trial latencies, as well as an interaction between reader group and the speed with which to-be-named items were presented. A series of hierarchical regression analyses explored the amount of shared variance between various measures of digit naming speed and five indices of reading skill. Latency for word identification shares considerable variance with latency for digit naming, and, in general, accounts for the shared variance of naming speed and several other measures of reading skill. Naming specd contributed variance in reading skill independently of measures of phonological awareness."
317,1976432164,promoting awareness of sounds in speech an initial report of an early intervention program for children with speech and language impairments,2002,10.1017/S0142716402004034,Applied Psycholinguistics,"Froma P. Roth, Gary A. Troia, Colleen K. Worthington, Kathy Ayala Dow","The purpose of this study was to demonstrate the efficacy of the rhyming portion of the Promoting Awareness of Sounds in Speech (PASS) program, a comprehensive and explicit phonological awareness intervention curriculum that was designed specifically for preschool children with speech and language impairments. A single-subject research design was used to examine treatment effects among children with varying levels of communicative competence, to permit flexibility while piloting the intervention program, and to provide experimental control. The PASS rhyming module was implemented with eight children with speech and/or language impairments, following the establishment of a stable pretreatment baseline on a series of phonological awareness probes. After instruction, all of the children demonstrated substantial improvement in their rhyming ability, which generally appeared to be attributable to the intervention rather than environmental or maturational factors. These findings suggest that PASS rhyming training was an effective approach to phonological awareness instruction for the preschoolers with disabilities who comprised our sample. Thus, it appears that explicit instruction in phonological awareness skills is beneficial for children at a point earlier than is typically judged to be therapeutically appropriate."
318,1976539194,patologias de la comunicacion proyecto docente para enfermeria infantil dislalias,2014,10.6018/eglobal.13.2.164041,,"Álvaro David Campos Palomo, Laura Deseada Campos Palomo","Dyslalia, bad known as a language disorder, is undoubtedly one of the most common childhood speech communication pathologies. Although nursing provide health care to children with these difficulties along different services, pregraduate and postgraduate training regarding communication pathology is very poor. Through an extensive updated searched literature in the Virtual Library System of Andalusia Public Health, is intended to present the most relevant aspects about dyslalia with pure teaching objective with the aim of improving nursing records, getting correct use in speech therapy terminology and achieving quality and identity in providing nursing care."
319,1976698649,speech production deficits in early readers predictors of risk,2012,10.1007/s11145-011-9300-4,Reading and Writing,"Judith G. Foy, Virginia A. Mann","Speech problems and reading disorders are linked, suggesting that speech problems may potentially be an early marker of later difficulty in associating graphemes with phonemes. Current norms suggest that complete mastery of the production of the consonant phonemes in English occurs in most children at around 6–7 years. Many children enter formal schooling (kindergarten) around 5 years of age with near-adult levels of speech production. Given that previous research has shown that speech production abilities and phonological awareness skills are linked in preschool children, we set out to examine whether this pattern also holds for children just beginning to learn to read, as suggested by the critical age hypothesis. In the present study, using a diverse sample, we explored whether expressive phonological skills in 92 5-year-old children at the beginning and end of kindergarten were associated with early reading skills. Speech errors were coded according to whether they were developmentally appropriate, position within the syllable, manner of production of the target sounds, and whether the error involved a substitution, omission, or addition of a speech sound. At the beginning of the school year, children with significant early reading deficits on a predictively normed test (DIBELS) made more speech errors than children who were at grade level. Most of these errors were typical of kindergarten children (e.g., substitutions involving fricatives), but reading-delayed children made more of these errors than children who entered kindergarten with grade level skills. The reading-delayed children also made more atypical errors, consistent with our previous findings about preschoolers. Children who made no speech errors at the beginning of kindergarten had superior early reading abilities, and improvements in speech errors over the course of the year were significantly correlated with year-end reading skills. The role of expressive vocabulary and working memory were also explored, and appear to account for some of these findings."
320,1976978405,early math matters kindergarten number competence and later mathematics outcomes,2009,10.1037/a0014939,Developmental Psychology,"Nancy C. Jordan, David Kaplan, Chaitanya Ramineni, Maria N. Locuniak","Children’s number competencies over 6 time points, from the beginning of kindergarten to the middle of 1st grade, were examined in relation to their mathematics achievement over 5 later time points, from the end of 1st grade to the end of 3rd grade. The relation between early number competence and mathematics achievement was strong and significant throughout the study period. A sequential process growth curve model showed that kindergarten number competence predicted rate of growth in mathematics achievement between 1st and 3rd grades as well as achievement level through 3rd grade. Further, rate of growth in early number competence predicted mathematics performance level in 3rd grade. Although low-income children performed more poorly than their middle-income counterparts in mathematics achievement and progressed at a slower rate, their performance and growth were mediated through relatively weak kindergarten number competence. Similarly, the better performance and faster growth of children who entered kindergarten at an older age were explained by kindergarten number competence. The findings show the importance of early number competence for setting children’s learning trajectories in elementary school mathematics."
321,1976996000,developmental component based model of reading fluency an investigation of predictors of word reading fluency text reading fluency and reading comprehension,2015,10.1002/rrq.107,Reading Research Quarterly,Young-Suk Kim,"The primary goal was to expand our understanding of text-reading fluency (efficiency or automaticity): how its relation to other constructs (e.g., word-reading fluency, reading comprehension) changes over time and how it is different from word-reading fluency and reading comprehension. The study examined (a) developmentally changing relations among word-reading fluency, listening comprehension, text-reading fluency, and reading comprehension; (b) the relation of reading comprehension to text-reading fluency; (c) unique emergent literacy predictors (i.e., phonological awareness, orthographic awareness, morphological awareness, letter name knowledge, vocabulary) of text-reading fluency versus word-reading fluency; and (d) unique language and cognitive predictors (e.g., vocabulary, grammatical knowledge, theory of mind) of text-reading fluency versus reading comprehension. These questions were addressed using longitudinal data (two timepoints; mean age = 5 years 2 months and 6 years 1 month, respectively) from young Korean-speaking children (N = 143). Results showed that listening comprehension was related to text-reading fluency at time 2 but not at time 1. At both times, text-reading fluency was related to reading comprehension, and reading comprehension was related to text-reading fluency over and above word-reading fluency and listening comprehension. Orthographic awareness was related to text-reading fluency over and above other emergent literacy skills and word-reading fluency. Vocabulary and grammatical knowledge were independently related to text-reading fluency and reading comprehension, whereas theory of mind was related to reading comprehension but not text-reading fluency. These results reveal the developmental nature of relations and mechanisms of text-reading fluency in reading development."
322,1977085956,auditory middle latency responses in children with specific language impairment,2012,10.1007/s00405-011-1901-7,European Archives of Oto-rhino-laryngology,"Saud S. Al-Saif, Mohamed M. Abdeltawwab, Mahmoud Khamis","Auditory-evoked potentials represent the response of the auditory pathway to an auditory stimulus. Specific language impairment (SLI) children have delayed language development with difficulties in both understanding and producing spoken language. Hence, the purpose of this study was to determine whether a group of children with SLI had abnormal changes in the auditory middle latency response (AMLR). AMLR was obtained for 19 SLI children and they were studied and compared to normal. Audiological assessment and speech language tests were done for the study group. The results revealed no significant statistical differences between SLI children and the normal with regard to AMLR (P > 0.05). Our results suggest that children with SLI do not have abnormal auditory system response at the level measured by AMLR casting doubt on affection of the hypnotized origin of AMLR, mainly primary auditory cortex, as a cause for delayed language development in those children."
323,1977104259,the investigation of linkage between a quantitative trait and a marker locus,1972,10.1007/BF01066731,Behavior Genetics,"J. K. Haseman, R. C. Elston","Procedures are given, using sib pairs, for estimating linkage between a knownm-allele locus and a hypothesized two-allele locus that governs a quantitative trait. Random mating and linkage equilibrium are assumed. Also given are parametric and nonparametric methods for detecting linkage when the trait in question is governed by several two-allele loci, provided there is no epistasis."
324,1977187946,dutch children at family risk of dyslexia precursors reading development and parental effects,2011,10.1002/dys.423,Dyslexia,"Elsje van Bergen, Peter F. de Jong, Anne Regtvoort, Frans Oort, Sandra G. van Otterloo, Aryan van der Leij","The study concerns reading development and its precursors in a transparent orthography. Dutch children differing in family risk for dyslexia were followed from kindergarten through fifth grade. In fifth grade, at-risk dyslexic (n 522), at-risk non-dyslexic (n 545), and control children (n 512) were distinguished. In kindergarten, the at- risk non-dyslexics performed better than the at-risk dyslexics, but worse than the controls on letter-knowledge and rapid naming. The groups did not differ on phonological awareness. At-risk dyslexics read less fluently from first grade onwards than the other groups. At- risk non-dyslexics' reading fluency was at an intermediate position between the other groups at the start of reading. By fifth grade they had reached a similar level as the controls on word reading, but still lagged behind on pseudoword reading. Results further showed that the parents of the groups of at-risk children differed in educational level and reading skills. Overall, the groups of at-risk children differed on pre-reading skills as well as on reading development. These differences do not seem to stem from differences in intellectual abilities or literacy environment. Instead, the better reading skills of parents of at-risk non-dyslexics suggest that these children might have a lower genetic liability. Copyright r 2010 John Wiley & Sons, Ltd."
325,1977199954,high prevalence of early language delay exists among toddlers with neonatal brachial plexus palsy,2014,10.1016/j.pediatrneurol.2014.04.021,Pediatric Neurology,"Kate Wan Chu Chang, Lynda J.-S. Yang, Lynn E. Driver, Virginia S. Nelson","Abstract Aim An association of language impairment with neonatal brachial plexus palsy has not been reported in the literature. The current treatment paradigm for neonatal brachial plexus palsy focuses on upper extremity motor recovery with little formal assessment of other aspects of development, such as language. We performed a cross-sectional pilot study to investigate early language delay prevalence in toddlers with neonatal brachial plexus palsy and potential neonatal brachial plexus palsy–related factors involved. Method Twenty toddlers with neonatal brachial plexus palsy were consecutively recruited (12 males and eight females; mean age, 30 months). Preschool Language Scale Score (4th edition), demographics, and socioeconomic status were collected. Neonatal brachial plexus palsy–related factors such as palsy side, treatment type, Narakas grade, muscle Medical Research Council score, and Raimondi hand score were reported. Student t test, chi-square test, or Fisher exact test were applied. Statistical significance level was established at P Results Of study participants, 30% had language delay, whereas the prevalence of language delay in the population with normal development in this age range was approximately 5-15%. Interpretation We observed high language delay prevalence among toddlers with neonatal brachial plexus palsy. Although our subject sample is small, our findings warrant further study of this phenomenon. Early identification and timely intervention based on type of language impairment may be critical for improving communication outcome in this population."
326,1977349107,phonological processes as predictors of specific reading skills in children at risk for reading failure,1990,10.1007/BF00383373,Reading and Writing,"Rebecca H. Felton, Idalyn S. Brown","Children at risk for reading disability were evaluated as kindergartners and again as first graders to determine (1) intercorrelations among phonological processing tasks and (2) the relationship of such tasks to word identification and word attack. With IQ controlled, there were no intercorrelations among measures of phonological awareness, phonetic recoding in working memory, and phonological recoding in lexical access. Thus, these results failed to substantiate the concept of a general phonological processing ability. Partial correlations controlling for IQ revealed no relationship between reading and phonological awareness or phonetic recoding in working memory. In contrast, lexical access measures were significantly, albeit moderately, correlated with word identification but not word attack. Word attack and word identification were predicted by different combinations of variables. These results suggest that lexical access ability is an important factor in reading acquisition and that different combinations of phonological processes may be related to different aspects of reading."
327,1977396365,early identification of at risk l2 readers,2004,10.1353/cml.2004.0004,Canadian Modern Language Review-revue Canadienne Des Langues Vivantes,"Sharon J. MacCoubrey, Lesly Wade-Woolley, Don Klinger, John R. Kirby","The present study examined which measures best identify English-speaking French immersion (FI) students at risk of future reading difficulties in French and English. Using reading scores taken in both languages at the end of Grade 1 and beginning of Grade 2, typical and poor reader groups were identified. Measures taken at the beginning of Grade 1 in tasks evaluating phonological abilities in English were used to determine group membership. Predictive discriminant analysis showed that performance on phoneme blending and sound isolation tasks identified poor and typical readers in English, while phoneme blending, sound isolation, and Rapid Naming identified poor and typical readers in French. These results can be used to identify new cases for the purpose of early reading interventions."
328,1977547458,early literacy in arabic an intervention study among israeli palestinian kindergartners,2008,10.1017/S0142716408080193,Applied Psycholinguistics,"Iris Levin, Elinor Saiegh-Haddad, Nareman Hende, Margalit Ziv","Arabic Literacy acquisition was studied among Israeli Palestinian low socioeconomic status kindergartners within the framework of an intervention study, implemented by teachers. On pretest, letter naming, alphabetic awareness, and phonological awareness were very low. Whereas the comparison group hardly progressed throughout the year, the intervention group progressed substantially on all three skills. The diglossic nature of the Arabic letter name system was manifested in children's transition from a mixture of two systems to preference for standard over colloquial names following the intervention. As in other alphabets, visual similarity and adjacency increased letter confusability. The unique features of Arabic literacy are discussed."
329,1977597716,early literacy from a longitudinal perspective,2005,10.1080/08993400500101054,Educational Research and Evaluation,"C.A.J. Aarnoutse, Jan van Leeuwe, Ludo Verhoeven","The goal of this longitudinal study was to examine which skills in early literacy determine the development of word recognition, reading comprehension, and spelling in the 2nd grade of the elementary school. A cohort of pupils was followed and tested during the 2nd year of kindergarten and the beginning of the 1st and 2nd grade. It appeared that mainly 2 skills determined the development of word recognition: rapid naming of letters and knowledge of letters. Reading comprehension was predicted to a large extent by vocabulary, rapid naming of letters, letter knowledge, and phonemic awareness. The skills that determined the development of spelling were rapid naming of numbers and letter knowledge."
330,1977721504,phonological skills and learning to read,1993,10.1111/j.1749-6632.1993.tb22977.x,Annals of the New York Academy of Sciences,Usha Goswami,Phonological Awareness and Reading. How Children Read Words. Spelling and Phonological Awareness. How Children Read and Write New Words. Comparisons with Backward Readers and Spellers. Correlations and Longitudinal Predictions. Teaching Children About Sound. Do Children Read and Fail to Learn to Read in Different Ways from Each Other. Theories About Learning to Read.
331,1977851457,die pradiktion von leseleistungen bei turkisch deutschsprachigen kindern die rolle der phonologischen bewusstheit,2013,10.1024/1010-0652/a000087,Zeitschrift Fur Padagogische Psychologie,"Dagmar Duzy, Andreas Gold, Wolfgang Schneider, Elmar Souvignier","In vielen Studien erwies sich die phonologische Bewusstheit als bedeutsamer Pradiktor fur die Leseleistungen einsprachiger Kinder. Allerdings ist unklar, ob die Leseleistungen turkisch-deutschsprachiger Kinder in gleichem Mase durch diesen Faktor vorhergesagt werden konnen. In einer Langsschnittstudie nahmen 112 turkisch-deutschsprachige und 111 rein deutschsprachige Kinder ab dem Vorschulalter an Erhebungen zu Vorlauferfertigkeiten des Schriftspracherwerbs sowie in der 1. und 2. Klassenstufe an Erfassungen der Dekodiergeschwindigkeit teil. Regressionsanalysen zeigten, dass die phonologische Bewusstheit in beiden Sprachgruppen einen unterschiedlichen Beitrag zur Aufklarung der Dekodiervarianz leistete. Fur die rein deutschsprachigen Kinder erwies sich die vorschulisch erfasste phonologische Bewusstheit in beiden Klassenstufen als bedeutsamer Pradiktor der Dekodiergeschwindigkeit. Bei der Pradiktion der Dekodiergeschwindigkeit der turkisch-deutschsprachigen Kinder erwies sich die phonologische Bewusstheit ..."
332,1977997278,the utility and accuracy of oral reading fluency score types in predicting reading comprehension,2011,10.1016/j.jsp.2010.09.004,Journal of School Psychology,"Yaacov Petscher, Young-Suk Kim","This study used data from the Dynamic Indicators of Basic Early Literacy Skills (DIBELS; Good & Kaminski, 2002) oral reading fluency (ORF) probes to examine variation among different ORF score types (i.e., the median of three passages, the mean of all three passages, the mean of passages 2 and 3, and the score from passage 3) in predicting reading comprehension as a function of student reading fluency level and to compare the screening accuracy of these score types in predicting student reading comprehension. The results revealed that the relation between oral reading fluency and reading comprehension varied as a function of students' oral reading fluency and that different score types had varying predictive validity for year-end reading comprehension. The mean of all three passages demonstrated a marginally better balance in screening efficiency from September to December of grade one (especially for low-performing students), whereas in grades two and three, the median score was the best predictor. Furthermore, across all grades, increasing reading rates were observed for the three administered passages within an assessment period. The observed patterns mimicked previous experimental studies (Francis et al., 2008; Jenkins, Graff, & Miglioretti, 2009), suggesting that practice effects are an important consideration in the administration of multiple passages assessing oral reading fluency."
333,1978361516,nonverbal disorders of learning the reverse of dyslexia,1986,10.1007/BF02648033,Annals of Dyslexia,Nathlie A. Badian,"Teacher perceptions of the social-behavioral characteristics of 99 boys were examined. Subjects were divided into three groups (Low Nonverbal, High Nonverbal, Equal) on the basis of their scores on two verbal and two performance WISC-R subtests, considered to be good measures of left- and right-brain functioning. The pattern of strengths and weaknesses shown by Low Nonverbal subjects suggested good left-brain functioning, but a right-brain dysfunction. These subjects were good readers, but relatively weak in arithmetic. Behaviors reported significantly more often for the Low Nonverbal subjects were low motivation, poor work habits, inability to work independently or to take age-related responsibility, disorganization, and poor relationships with peers. High Nonverbal subjects, who exhibited signs of a probable left-brain dysfunction, were usually perceived by their teachers as sociable, responsible, and determined to succeed, in spite of their having language disorders and dyslexia. It is argued that the constellation of behaviors displayed by the Low Nonverbal subjects is part of the right-brain dysfunction syndrome. To date, there are limited resources available for helping such children."
334,1978542969,a follow up study of children with disorders of speech development,1973,10.3109/13682827309011581,International Journal of Language & Communication Disorders,"Maureen Garvey, Neil Gordon","SummaryA group of 58 children, initially presenting with delayed speech development, were reviewed. Twenty-three were being educated in primary schools, and two in secondary schools. Two children were at schools for the deaf, and three were at schools for partially hearing children. Three children attended schools for children with disorders of language development. Nine children went to schools for the educationally subnormal, and two to units for physically and mentally handicapped children. One child was taught at home by a teacher engaged by the parents, one was attending a private school, one was of pre-school age and two were at home receiving long term assessment (awaiting placement in some type of school). Three children go to training centres and three are resident in mental subnormality hospitals. Three children have left school.The study was concerned with the fate of children with secondary speech disorders and specific disorders of language development. Some of the problems of these various g..."
335,1978578901,specific language impairment in families evidence for co occurrence with reading impairments,2003,10.1044/1092-4388(2003/043,Journal of Speech Language and Hearing Research,"Judy F. Flax, Teresa Realpe-Bonilla, Linda S. Hirsch, Brzustowicz Lm, Christopher W. Bartlett, Paula Tallal","Two family aggregation studies report the occurrence and co-occurrence of oral language impairments (LIs) and reading impairments (RIs). Study 1 examined the occurrence (rate) of LI and RI in children with specific language impairment (SLI probands), a matched control group, and all nuclear family members. Study 2 included a larger sample of SLI probands, as well as their nuclear and extended family members. Probands and their family members who met specific criteria were classified as language and/or reading impaired based on current testing. In Study 1, the rates of LI and RI for nuclear family members (excluding probands) were significantly higher than those for control family members. In the SLI families, affected family members were more likely to have both LI and RI than either impairment alone. In Study 2, 68% of the SLI probands also met the diagnostic classification for RI. The language and RI rates for the other family members, excluding probands, were 25% and 23% respectively, with a high degree of co-occurrence of LI and RI (46%) in affected individuals. Significant sex ratio differences were found across generations in the families of SLI probands. There were more male than female offspring in these families, and more males than females were found to have both LIs and RIs. Results demonstrate that when LIs occur within families of SLI probands, these impairments generally co-occur with RIs. Our data are also consistent with prior findings that males show impairments more often than females."
