Key,ID,Title,Year,Author,Pub_Type
ZF4BSMW4,2100832063,episodic memory perceptual memory and their interaction foundations for a theory of posttraumatic stress disorder,2014,"Brewin, Chris R.",1
7DW2FLFE,2340877101,perceived experiences of atheist discrimination instrument development and evaluation,2016,"Brewster, Melanie E.; Hammer, Joseph; Sawyer, Jacob S.; Eklund, Austin; Palamar, Joseph",1
DV6FK53L,2005978179,enhancing the reading of dyslexic children by reading acceleration and auditory masking,1997,"Breznitz, Zvia",1
GLHSGL7G,2055867185,the relational essence of maternal mourning an existential psychoanalytic perspective,1989,"Brice, Charles W.",1
9W9LJFPM,2164885621,home activities of mexican american children structuring early socialization and cognitive engagement,2015,"Bridges, Margaret; Cohen, Shana R.; Scott, Lyn; Fuller, Bruce; Anguiano, Rebecca; Figueroa, Ariana Mangual; Livas-Dlott, Alejandra",1
N5LZE692,2023055732,cognitive monitoring and strategy choice in younger and older adults,1988,"Brigham, Margaret C.; Pressley, Michael",1
BEPPWNX7,2329102018,the engine of thought is a hybrid roles of associative and structured knowledge in reasoning,2014,"Bright, Aimée K.; Feeney, Aidan",1
ITC55U7P,1985129038,student success skills impacting achievement through large and small group work,2007,"Brigman, Greg; Webb, Linda",1
XZVMW5IF,2800735976,affective and cognitive validation of thoughts an appraisal perspective on anger disgust surprise and awe,2018,"Briñol, Pablo; Petty, Richard E.; Stavraki, Maria; Lamprinakos, Grigorios; Wagner, Benjamin; Díaz, Darío",1
E3ZYVGHQ,2335782271,personality and dyadic adjustment who you think your partner is really matters,2016,"Brock, Rebecca L.; Dindo, Lilian; Simms, Leonard J.; Clark, Lee Anna",1
84DH64CM,2093448338,digit naming speed performance among children with attention deficit hyperactivity disorder,2003,"Brock, Stephen E.; Christo, Catherine",1
JSHJXI7K,2042054275,psychodynamic play therapy with a high functioning autistic child,1989,"Bromfield, Richard",1
9KTXWURA,1981301021,post vietnam gender role strain a needed concept,1990,"Brooks, Gary R.",1
SF4RLDF2,2581641843,public perception and communication of scientific uncertainty,2017,"Broomell, Stephen B.; Kane, Patrick Bodilly",1
2R5KVH45,2886673918,is there adaptation of speech production after speech perception in bilingual interaction,2019,"Broos, Wouter P. J.; Dijkgraaf, Aster; Van Assche, Eva; Vander Beken, Heleen; Dirix, Nicolas; Lagrou, Evelyne; Hartsuiker, Robert J.; Duyck, Wouter",1
GMPE9DIA,2152085667,trauma and holocaust video testimony the intersection of history memory and judgment in the interview process,2009,"Brown, Adam",1
QNGHLJ72,2921535466,coherence between subjective experience and physiology in emotion individual differences and implications for well being,2019,"Brown, Casey L.; Van Doren, Natalia; Ford, Brett Q.; Mauss, Iris B.; Sze, Jocelyn W.; Levenson, Robert W.",1
47RZAUZK,1963971262,oscillator based memory for serial order,2000,"Brown, Gordon D. A.; Preece, Tim; Hulme, Charles",1
A6S93Z2E,2146157425,an examination of the structure and nomological network of trainee reactions a closer look at smile sheets,2005,"Brown, Kenneth G.",1
MI5S7DRV,2166265637,interacting sources of information in word naming a study of individual differences,1994,"Brown, Patrick; Lupker, Stephen J.; Colombo, Lucia",1
ZACBD7DQ,1971363530,a quasi experimental validation of transactional strategies instruction with low achieving second grade readers,1996,"Brown, Rachel; Pressley, Michael; Van Meter, Peggy; Schuder, Ted",1
8MTYXLC8,2613365511,a musical model of speech rhythm,2017,"Brown, Steven; Pfordresher, Peter Q.; Chow, Ivan",1
D4K2IE5U,2474788013,taking the long view implications of individual differences in temporal distancing for affect stress reactivity and well being,2016,"Bruehlman-Senecal, Emma; Ayduk, Özlem; John, Oliver P.",1
SGH95X9H,1816649381,dyslexia creating impact through innovation,2015,"Brunswick, Nicola",1
I9RER4VR,2100182075,arabic number reading on the nature of the numerical scale and the origin of phonological recoding,1995,"Brysbaert, Marc",1
Y76C8SAA,2050749467,value structure at an early age,2004,"Bubeck, Maike; Bilsky, Wolfgang",1
PZJWS6V9,1995477986,family routines and rituals when a parent has cancer,2009,"Buchbinder, Mara; Longhofer, Jeffrey; McCue, Kathleen",1
5TSNBTWY,2325358133,cannabis use vulnerability among socially anxious users cannabis craving during a social interaction,2013,"Buckner, Julia D.; Ecker, Anthony H.; Vinci, Christine",1
PV6CGG7N,1979125340,the work experiences of transgender individuals negotiating the transition and career decision making processes,2010,"Budge, Stephanie L.; Tebbe, Esther N.; Howard, Kimberly A. S.",1
ISK4SYPV,2062525833,self efficacy as a mediator of the relationship between perceived union barriers and women s participation in union activities,1997,"Bulger, Carrie A.; Mellor, Steven",1
8APFN5UC,2022715100,personality stressful life events and treatment response in major depression,2009,"Bulmash, Eric; Harkness, Kate L.; Stewart, Jeremy G.; Bagby, R. Michael",1
PU23SUFZ,2010207435,depression anxiety and within person variability in adults aged 18 to 85 years,2008,"Bunce, David; Handley, Rowena; Gaines, Stanley O. Jr.",1
FZPLCWGG,2799626249,do infants and nonhuman animals attribute mental states,2018,"Burge, Tyler",1
8YJPTWCB,2005421186,replicating milgram would people still obey today,2009,"Burger, Jerry M.",1
QI65W8BI,2883225761,ideas are cheap when and why adults value labor over ideas,2019,"Burgmer, Pascal; Forstmann, Matthias; Stavrova, Olga",1
WWP2533E,1551290657,the shad story,2006,"Burk, Sandy",1
JQWXVTJW,1966507438,geometrical gaze following in common marmosets callithrix jacchus,2006,"Burkart, Judith; Heschl, Adolf",1
C8UYBH4E,2068572807,even simple forms of social learning rely on intention attribution in marmoset monkeys callithrix jacchus,2012,"Burkart, Judith; Kupferberg, Aleksandra; Glasauer, Stefan; van Schaik, Carel",1
A97GPVN8,2103539763,group service in macaques macaca fuscata capuchins cebus apella and marmosets callithrix jacchus a comparative approach to identifying proactive prosocial motivations,2013,"Burkart, Judith Maria; van Schaik, Carel",1
GIYLHLYB,2091224684,the changing world of organization change,1993,"Burke, W. Warner",1
NP3FQWZJ,2341475172,meta analysis of academic interventions derived from neuropsychological data,2016,"Burns, Matthew K.; Petersen-Brown, Shawna; Haegele, Katherine; Rodriguez, Megan; Schmitt, Braden; Cooper, Maureen; Clayton, Kate; Hutcheson, Shannon; Conner, Cynthia; Hosp, John; VanDerHeyden, Amanda M.",1
YNHHKG6N,2908711166,making social neuroscience less weird using fnirs to measure neural signatures of persuasive influence in a middle east participant sample,2019,"Burns, Shannon M.; Barnes, Lianne N.; McCulloh, Ian A.; Dagher, Munqith M.; Falk, Emily B.; Storey, J. Douglas; Lieberman, Matthew D.",1
7L9TEH89,2082203063,effects of task and ego achievement goals on information seeking during task engagement,1993,"Butler, Ruth",1
NGQF9NR7,2329250627,antisocial thinking in adolescents further psychometric development of the antisocial beliefs and attitudes scale abas,2015,"Butler, Stephen M.; Parry, Rachael; Fearon, R. M. Pasco",1
QHRK2Q84,2950052501,reducing interference from misconceptions the role of inhibition in knowledge revision,2019,"Butterfuss, Reese; Kendeou, Panayiota",1
DYEM9Q7R,2213319489,accounts of a troubled past psychology history and texts of experience,2017,"Byford, Jovan; Tileagă, Cristian",0
7ZHYC47A,2100127793,teacher effects in early literacy development evidence from a study of twins,2010,"Byrne, Brian; Coventry, William L.; Olson, Richard K.; Wadsworth, Sally J.; Samuelsson, Stefan; Petrill, Stephen A.; Willcutt, Erik G.; Corley, Robin",1
5C4ZH7G3,2062755536,evaluation of a program to teach phonemic awareness to young children,1991,"Byrne, Brian; Fielding-Barnsley, Ruth",1
Z5E2S2A8,2084036948,evaluation of a program to teach phonemic awareness to young children a 2 and 3 year follow up and a new preschool trial,1995,"Byrne, Brian; Fielding-Barnsley, Ruth",1
9AIJVMRR,2034185826,effects of preschool phoneme identity training after six years outcome level distinguished from rate of response,2000,"Byrne, Brian; Fielding-Barnsley, Ruth; Ashley, Luise",1
L6WLFUK5,2155226771,genetic and environmental influences on early literacy,2006,"Byrne, Brian; Olson, Richard K.; Samuelsson, Stefan; Wadsworth, Sally; Corley, Robin; DeFries, John C.; Willcutt, Erik",1
V34BBI66,2012221472,longitudinal twin study of early literacy development preschool and kindergarten phases,2005,"Byrne, Brian; Wadsworth, Sally; Corley, Robin; Samuelsson, Stefan; Quain, Peter; DeFries, John C.; Willcutt, Erik; Olson, Richard K.",1
MMFI9SB4,2019188787,proactive versus defensive ethics re humanizing psychology,2009,"Byrne, Catherine C.",1
ITLQ5GTF,2026217192,gender differences in risk taking a meta analysis,1999,"Byrnes, James P.; Miller, David C.; Schafer, William D.",1
P2LY7XEL,1998570995,language driven concept learning deciphering jabberwocky,1996,"Cabrera, Ángel; Billman, Doritt",1
SFBLFWNC,1984112996,generalized full information item bifactor analysis,2011,"Cai, Li; Yang, Ji Seung; Hansen, Mark",1
3N2FWHZF,2131133361,home schooling and teaching style comparing the motivating styles of home school and public school teachers,2002,"Cai, Yi; Reeve, Johnmarshall; Robinson, Dawn T.",1
TZBCDIAD,1997129316,effects of lexicality and distinctiveness on repetition blindness,2002,"Campbell, Jamie I. D.; Fugelsang, Jonathan A.; Hernberg, Vanessa D.",1
Z2MRV3U3,2015146835,readers social desirability and text that violates social values evidence of an interaction,2000,"Campbell, Kathryn J.; Williams, Joanna P.",1
SDF973PD,2071378835,edison is the symptom nclb is the disease,2007,"Campbell, Peter",1
62QKUDYL,2091683608,too much experience a desensitization bias in emotional perspective taking,2014,"Campbell, Troy; O'Brien, Ed; Van Boven, Leaf; Schwarz, Norbert; Ubel, Peter",1
9E35I62L,2320108814,the duplessis orphans at the canadian museum for human rights healing through representation,2013,"Campbell, Victoria",1
U6DKWLGA,2039702392,hypothetical and certain inferences from conditional arguments read in texts,2006,"Campion, Nicolas",1
C2P5XEU6,95765945,point and counterpoint family life cycle theory a feminist critique,1989,"Candib, Lucy M.",1
68RLZPS8,2074451292,characterizing the morphosyntactic processing deficit and its relationship to phonology in developmental dyslexia,2013,"Cantiani, Chiara; Lorusso, Maria Luisa; Guasti, Maria Teresa; Sabisch, Beate; Männel, Claudia",1
3M4Z8MEW,2921930835,a cross linguistic longitudinal study of the foundations of decoding and reading comprehension ability,2019,"Caravolas, Markéta; Lervåg, Arne; Mikulajová, Marína; Defior, Sylvia; Seidlová-Málková, Gabriela; Hulme, Charles",1
B7T56RK6,993556660,learning to read and spell words in different writing systems,2015,"Caravolas, Markéta; Samara, Anna",0
2TGAFSTU,2150136684,the prevention of depressive symptoms in low income minority middle school students,2002,"Cardemil, Esteban V.; Reivich, Karen J.; Seligman, Martin E. P.",1
XHQWDTNK,2000110576,cognitive and language correlates of hyperlexia evidence from children with autism spectrum disorders,2010,"Cardoso-Martins, Cláudia; da Silva, Juliane Ribeiro",1
RD28E79S,1967124187,the relationship between phoneme awareness and rapid serial naming skills and literacy acquisition the role of developmental period and reading ability,2004,"Cardoso-Martins, Cláudia; Pennington, Bruce F.",1
6PAPLQ7H,2079351438,specific reading disability in brazilian portuguese evidence for a multiple cognitive deficit model,2010,"Cardoso-Martins, Cláudia; Triginelli, Mirelle Michallick",1
6PZ2L8UL,2330810656,comparing two forms of a childhood perspective taking measure using cfa and irt,2013,"Carey, Jasmine M.; Cassels, Tracy G.",1
R6JRYMU2,2778450848,construct validity of the nih toolbox cognition battery in individuals with stroke,2017,"Carlozzi, Noelle E.; Tulsky, David S.; Wolf, Timothy J.; Goodnight, Siera; Heaton, Robert K.; Casaletto, Kaitlin B.; Wong, Alex W. K.; Baum, Carolyn M.; Gershon, Richard C.; Heinemann, Allen W.",1
255QJFVX,2162638605,development and validation of a brief self report measure of trauma exposure the trauma history screen,2011,"Carlson, Eve B.; Smith, Steve R.; Palmieri, Patrick A.; Dalenberg, Constance; Ruzek, Josef I.; Kimerling, Rachel; Burling, Thomas A.; Spain, David A.",1
TMAC9RDZ,2072083856,neural correlates of spatial term use,2002,"Carlson, Laura A.; West, Robert; Taylor, Holly A.; Herndon, Ryan W.",1
6FMJ3YDQ,2031827809,syntactic priming in comprehension the role of argument order and animacy,2008,"Carminati, Maria Nella; van Gompel, Roger P. G.; Scheepers, Christoph; Arai, Manabu",1
R3H68N8Q,2122891688,infant sensitivity to deviations in dynamic facial vocal displays the role of eye regard,1997,"Caron, Albert J.; Caron, Rose; Roberts, Jennifer; Brooks, Rechele",1
V5DVPXIZ,2131953045,impairment of shooting performance by background complexity and motion,2015,"Caroux, Loïc; Le Bigot, Ludovic; Vibert, Nicolas",1
JP9K3AJ8,2013519364,the interplay of cultural and personal myths in the dreams of a balinese artist,1990,"Carpenter, Bruce; Krippner, Stanley",1
KUVP5YAK,2944961809,a longitudinal study of spatial skills and number sense development in elementary school children,2019,"Carr, Martha; Horan, Erin; Alexeev, Natalia; Barned, Nicole; Wang, Lu; Otumfuor, Beryl",1
PHFXH5A3,2104503391,does strategic memory training improve the working memory performance of younger and older adults,2007,"Carretti, Barbara; Borella, Erika; De Beni, Rossana",1
Z4USPW9F,2104396432,emotional experience improves with age evidence based on over 10 years of experience sampling,2011,"Carstensen, Laura L.; Turan, Bulent; Scheibe, Susanne; Ram, Nilam; Ersner-Hershfield, Hal; Samanez-Larkin, Gregory R.; Brooks, Kathryn P.; Nesselroade, John R.",1
ZTYBE68B,2070332757,when the future feels worse than the past a temporal inconsistency in moral judgment,2010,"Caruso, Eugene M.",1
9XMTGEWD,2155122405,using letter naming speed to diagnose reading disability,1991,"Carver, Ronald P.",1
7SC7C9UR,2042472517,investigating reading achievement using a causal model,2001,"Carver, Ronald P.; David, Anne Hug",1
MQDAILYP,2324868790,rhythmic priming enhances speech production abilities evidence from prelingually deaf children,2015,"Cason, Nia; Hidalgo, Céline; Isoard, Florence; Roman, Stéphane; Schön, Daniele",1
CTDS7TVZ,2604223969,perceptual and response dependent profiles of attention in children with adhd,2017,"Caspersen, Ida Dyhr; Petersen, Anders; Vangkilde, Signe; Plessen, Kerstin Jessica; Habekost, Thomas",1
2T9J37V4,2947331169,assessing and addressing stigma in bipolar disorder the impact of cause and treatment information on stigma,2019,"Cassidy, Caleigh; Erdal, Kristi",0
64ERPN9V,2028209000,the development of memory efficiency and value directed remembering across the life span a cross sectional study of memory and selectivity,2011,"Castel, Alan D.; Humphreys, Kathryn L.; Lee, Steve S.; Galván, Adriana; Balota, David A.; McCabe, David P.",1
YYL24UIH,2037950213,construction and validation of the intragroup marginalization inventory,2007,"Castillo, Linda G.; Conoley, Collie W.; Brossart, Daniel F.; Quiros, Alexander E.",1
A4NEH3SF,2058396979,anxiety gives priority to anticipation of threatening events,2000,"Castillo, M. Dolores; Calvo, Manuel G.",1
UD7B7W6S,2070405510,numerical estimation in blind subjects evidence of the impact of blindness and its following experience,2007,"Castronovo, Julie; Seron, Xavier",1
QCKTHTFU,2031822798,b f skinner organism,1992,"Catania, A. Charles",1
22BNW8W5,1980401775,the role of socioeconomic status in helpseeking from hotlines shelters and police among a national sample of women experiencing intimate partner violence,2008,"Cattaneo, Lauren Bennett; DeLoveh, Heidi L. M.",1
TGHJUY7N,2006701695,estimating the risk of future reading difficulties in kindergarten children a research based model and its clinical implementation,2001,"Catts, Hugh W.; Fey, Marc E.; Zhang, Xuyang; Tomblin, J. Bruce",1
LZ3IERFB,1660515937,early prediction of reading comprehension within the simple view framework,2015,"Catts, Hugh W.; Herrera, Sarah; Nielsen, Diane Corcoran; Bridges, Mindy Sittner",1
86GC8RLL,2522119927,viewing a phonological deficit within a multifactorial model of dyslexia,2017,"Catts, Hugh W.; McIlraith, Autumn; Bridges, Mindy Sittner; Nielsen, Diane Corcoran",1
7Q6CZYND,2793736653,the moral standing of animals towards a psychology of speciesism,2019,"Caviola, Lucius; Everett, Jim A. C.; Faber, Nadira S.",1
WUNEDIU3,2131614626,always aware siempre pendiente latina mothers parenting in high risk neighborhoods,2012,"Ceballo, Rosario; Kennedy, Traci M.; Bregman, Allyson; Epstein-Ngo, Quyen",1
CGWFWW54,2157937662,is congruity due to encoding,1995,"Čech, Claude G.",1
ZR8AKWWT,2066217190,general intelligence and life success an introduction to the special theme,1996,"Ceci, Stephen J.",1
J9N6DV5L,1983662027,a day at the races a study of iq expertise and cognitive complexity,1986,"Ceci, Stephen J.; Liker, Jeffrey K.",1
A8EWRPMC,2165037021,eye movements and phonological parafoveal preview effects of reading skill,2005,"Chace, Kathryn H.; Rayner, Keith; Well, Arnold D.",1
M224RBEY,1966553490,accuracy based phonological awareness tasks are they reliable efficient and sensitive to growth,2002,"Chafouleas, Sandra M.; Martens, Brian K.",1
Q3KW85PY,2041233635,affective cognitive consistency and thought induced attitude polarization,1985,"Chaiken, Shelly; Yates, Suzanne",1
NWNKNFEW,2000294797,i need you to listen to what happened to me personal narratives of social trauma in research and peace building,2014,"Chaitin, Julia",1
UV76WTI8,2116487373,selective attention improves under stress implications for theories of social cognition,2003,"Chajut, Eran; Algom, Daniel",1
IZESP2HR,2767954161,artists as experts in visual cognition an update,2019,"Chamberlain, Rebecca; Drake, Jennifer E.; Kozbelt, Aaron; Hickman, Rachel; Siev, Joseph; Wagemans, Johan",1
G4BMX2QK,2074983321,exploring the reading writing connection in chinese children with dyslexia in hong kong,2006,"Chan, David W.; Ho, Connie S.-H.; Tsang, Suk-Man; Lee, Suk-Han; Chung, Kevin K. H.",1
9ZVXQCEI,2056178014,prevalence gender ratio and gender differences in reading related cognitive abilities among chinese children with dyslexia in hong kong,2007,"Chan, David W.; Ho, Connie Suk-Han; Tsang, Suk-Man; Lee, Suk-Han; Chung, Kevin K. H.",1
74XTLQSR,2027291410,cognitive profiling in chinese developmental dyslexia with attention deficit hyperactivity disorders,2008,"Chan, Won Shing Raymond; Hung, Se Fong; Liu, Suet Nga; Lee, Cheuk Kiu Kathy",1
52PGKSP9,2327217150,whines cries and motherese their relative power to distract,2011,"Chang, Rosemarie Sokol; Thompson, Nicholas S.",1
7NEHFGSR,2005625964,the contribution of rapid automatized naming to chinese character recognition,2014,"Chang, Yu-jen; Su, Fu-hsing; Tzeng, Shih-jay; Ko, Hwa-wei; Wu, Ming-lung; Yang, Chih-Chien; Yang, Chih-yu",1
N4BAS9D6,2746596527,do rewards reinforce the growth mindset joint effects of the growth mindset and incentive schemes in a field intervention,2017,"Chao, Melody Manchi; Visaria, Sujata; Mukhopadhyay, Anirban; Dehejia, Rajeev",1
MKHFX75D,1988832952,unpleasant situations elicit different emotional responses in younger and older adults,2008,"Charles, Susan Turk; Carstensen, Laura L.",1
WGEQVJR9,2092031636,memories of social interactions age differences in emotional intensity,2007,"Charles, Susan Turk; Piazza, Jennifer R.",1
YVNJQ35D,2046896513,component processes in bridge bidding and novel problem solving tasks,1987,"Charness, Neil",1
JKH6HS5B,1977595951,negative priming in word recognition a context effect,1993,"Chawarski, Marek C.; Sternberg, Robert J.",1
8CP88AQM,1972461013,ending child psychotherapy continuing the cycle of life,1997,"Chazan, Saralea E.",1
KIK8NK29,1981481943,anger impulsivity and anger control in combat related posttraumatic stress disorder,1994,"Chemtob, Claude M.; Hamada, Roger S.; Roitblat, Herbert L.; Muraoka, Miles Y.",1
5TWQCRLY,1994486616,mental illness disclosure in chinese immigrant communities,2013,"Chen, Fang-pei; Lai, Grace Ying-Chi; Yang, Lawrence",1
DNIKBTZJ,2884590506,examining the visual attention span deficit hypothesis in chinese developmental dyslexia,2019,"Chen, Nga Ting; Zheng, Mo; Ho, Connie Suk-Han",1
4UGLA753,1966708204,relationship orientation as a moderator of the effects of social power,2001,"Chen, Serena; Lee-Chai, Annette Y.; Bargh, John A.",1
NM5ZC455,2028261273,two ways to the top evidence that dominance and prestige are distinct yet viable avenues to social rank and influence,2013,"Cheng, Joey T.; Tracy, Jessica L.; Foulsham, Tom; Kingstone, Alan; Henrich, Joseph",1
ZN8XZGP3,2326818929,listen follow me dynamic vocal signals of dominance predict emergent social rank in humans,2016,"Cheng, Joey T.; Tracy, Jessica L.; Ho, Simon; Henrich, Joseph",1
A5DC6C8D,2046343853,the influence of orthographic depth on reading networks in simultaneous biliterate children,2015,"Cherodath, S.; Singh, N. C.",1
LBS4GHRS,2463323163,a role for putamen in phonological processing in children,2017,"Cherodath, Sarika; Rao, Chaitra; Midha, Rashi; T. A., Sumathi; Singh, Nandini C.",1
XISSXBIB,2574358987,suppression and expression of emotion in social and interpersonal outcomes a meta analysis,2017,"Chervonsky, Elizabeth; Hunt, Caroline",1
2K7KUAG9,2530828552,why are some stem fields more gender balanced than others,2017,"Cheryan, Sapna; Ziegler, Sianna A.; Montoya, Amanda K.; Jiang, Lily",1
6TYV6IYT,2079906915,levels of borderline functioning in children etiological and treatment considerations,1986,"Chethik, Morton",1
35LDSEST,2009731022,speech perception vocabulary and the development of reading skills in english among korean and english speaking children,2007,"Chiappe, Penny; Glaeser, Barbara; Ferko, Doreen",1
3V2ES24K,2053309771,phonological awareness and reading acquisition in english and punjabi speaking canadian children,1999,"Chiappe, Penny; Siegel, Linda S.",1
S7K55GXS,1978053735,motivated cultural cognition the impact of implicit cultural theories on dispositional attribution varies as a function of need for closure,2000,"Chiu, Chi-yue; Morris, Michael W.; Hong, Ying-yi; Menon, Tanya",1
I8Z32NEW,1995187552,correlates of korean hangul acquisition among kindergartners and second graders,2005,"Cho, Jeung-Ryeul; McBride-Chang, Catherine",1
ZH7RVZZL,1997228687,levels of phonological awareness in korean and english a 1 year longitudinal study,2005,"Cho, Jeung-Ryeul; McBride-Chang, Catherine",1
ILLINMG7,2080123348,the power of feelings personal meaning in psychoanalysis gender and culture book review,2001,"Chodorow, Nancy J.",1
8AR3JRY8,2528822230,what do phonological processing errors tell about students skills in reading writing and oral language,2017,"Choi, Dowon; Hatcher, Ryan C.; Dulong-Langley, Susan; Liu, Xiaochen; Bray, Melissa A.; Courville, Troy; O'Brien, Rebecca; DeBiase, Emily",1
LAIUHLTC,1992172722,coordination of word recognition and oculomotor control during reading the role of implicit lexical decisions,2013,"Choi, Wonil; Gordon, Peter C.",1
NPN7E3TT,2167548952,are multiracial adolescents at greater risk comparisons of rates patterns and correlates of substance use and violence between monoracial and multiracial adolescents,2006,"Choi, Yoonsun; Harachi, Tracy W.; Gillmore, Mary Rogers; Catalano, Richard F.",1
QAPTIFAX,2390610445,balancing effectiveness with responsiveness therapist satisfaction across different treatment designs in the child steps randomized effectiveness trial,2015,"Chorpita, Bruce F.; Park, Alayna; Tsai, Katherine; Korathu-Larson, Priya; Higa-McMillan, Charmaine K.; Nakamura, Brad J.; Weisz, John R.; Krull, Jennifer",1
ECHM8EH7,2013003775,primary grade teachers use of within class ability grouping in reading,2006,"Chorzempa, Barbara Fink; Graham, Steve",1
CMGCMPTW,2246418392,waste management how reducing partiality can promote efficient resource allocation,2015,"Choshen-Hillel, Shoham; Shaw, Alex; Caruso, Eugene M.",1
8XDN396H,2800799624,understanding word learning mechanisms in beginning and proficient readers of chinese the roles of associative learning and linguistic knowledge,2018,"Chow, Bonnie Wing-Yin",1
J5F3RR5T,2153110545,phonological processing skills and early reading abilities in hong kong chinese kindergarteners learning to read english as a second language,2005,"Chow, Bonnie Wing-Yin; McBride-Chang, Catherine; Burgess, Stephen",1
IQ357M6X,2136356686,couple and individual adjustment for 2 years following a randomized clinical trial comparing traditional versus integrative behavioral couple therapy,2006,"Christensen, Andrew; Atkins, David C.; Yi, Jean; Baucom, Donald H.; George, William H.",1
6LXDF69T,2046873868,letter transpositions within and across morphemes,2005,"Christianson, Kiel; Johnson, Rebecca L.; Rayner, Keith",1
9B7ZWN7P,2124340970,effects of plausibility on structural priming,2010,"Christianson, Kiel; Luke, Steven G.; Ferreira, Fernanda",1
WRK7VIS5,2032859856,rapid naming and phonological processing as predictors of reading and spelling,2008,"Christo, Catherine; Davis, Jack",1
TVCT2PPK,2197217725,impact of intensive summer reading intervention for children with reading disabilities and difficulties in early elementary school,2017,"Christodoulou, Joanna A.; Cyr, Abigail; Murtagh, Jack; Chang, Patricia; Lin, Jiayi; Guarino, Anthony J.; Hook, Pamela; Gabrieli, John D. E.",1
Z3JAJE3V,2956740340,why do people believe in a true self the role of essentialist reasoning about personal identity and the self,2019,"Christy, Andrew G.; Schlegel, Rebecca J.; Cimpian, Andrei",1
BK2HSS3F,1806210563,the meaning of social support for persons with serious mental illness,2015,"Chronister, Julie; Chou, Chih-Chin; Kwan, Kwong-Liem Karl; Lawton, Melissa; Silver, Kurt",1
XS8QEP9V,2106868681,an experimental examination of two career interventions for battered women,2006,"Chronister, Krista M.; McWhirter, Ellen Hawley",1
HDBL85J9,2097885959,cognitive skills and literacy performance of chinese adolescents with and without dyslexia,2011,"Chung, Kevin K. H.; Ho, Connie S. -H.; Chan, David W.; Tsang, Suk-Man; Lee, Suk-Han",1
WXFFC3F2,2077897768,syntactic and discourse skills in chinese adolescent readers with dyslexia a profiling study,2014,"Chung, Kevin K. H.; Lo, Jason C. M.; Ho, Connie S.-H.; Xiao, Xiaoyun; Chan, David W.",1
77RLZQYG,2033014891,executive functioning skills uniquely predict chinese word reading,2011,"Chung, Kevin K. H.; McBride-Chang, Catherine",1
547AYJ6K,2763749248,visuomotor integration and executive functioning are uniquely linked to chinese word reading and writing in kindergarten children,2018,"Chung, Kevin Kien Hoa; Lam, Chun Bun; Cheung, Ka Chun",1
JF2MBJTB,2591105527,the relation between orthographic processing and spelling in grade 1 french immersion children,2018,"Chung, Sheila Cira; Chen, Xi; Deacon, S. Hélène",1
6Y43NG8H,2941848453,simultaneous versus prospective retrospective uncertainty monitoring the effect of response competition across cognitive levels,2019,"Church, Barbara A.; Jackson, Brooke N.; Beran, Michael J.; Smith, J. David",1
VLFXV28D,2135396559,the treatment of combat trauma in veterans using eft emotional freedom techniques a pilot protocol,2010,"Church, Dawson",1
BMKX4G7E,2319572649,the inventory of psychotic like anomalous self experiences ipase development and validation,2017,"Cicero, David C.; Neis, Aaron M.; Klaunig, Mallory J.; Trask, Christi L.",1
H2QHEQZF,2059450453,beyond attentional strategies a cognitive perceptual model of somatic interpretation,1991,"Cioffi, Delia",1
BP3693QF,2793201094,a framework for executive function in the late elementary years,2018,"Cirino, Paul T.; Ahmed, Yusra; Miciak, Jeremy; Taylor, W. Pat; Gerst, Elyssa H.; Barnes, Marcia A.",1
FDZLJHUR,1963598903,can the computer based academic assessment system caas be used to diagnose reading disability in college students,1997,"Cisero, Cheryl A.; Royer, James M.; Marchant, Horace G. III; Jackson, Stanley J.",1
ZUV6VWRP,2801128820,four avenues of normative influence a research agenda for health promotion in low and mid income countries,2018,"Cislaghi, Beniamino; Heise, Lori",1
5KWZZBVN,2013424363,preschool executive functioning abilities predict early mathematics achievement,2010,"Clark, Caron A. C.; Pritchard, Verena E.; Woodward, Lianne J.",1
5G36PFQY,2012417959,free to punish a motivated account of free will belief,2014,"Clark, Cory J.; Luguri, Jamie B.; Ditto, Peter H.; Knobe, Joshua; Shariff, Azim F.; Baumeister, Roy F.",1
8JYM6IFI,2952325463,identifying the cognitive processes underpinning hippocampal dependent tasks,2019,"Clark, Ian A.; Hotchin, Victoria; Monk, Anna; Pizzamiglio, Gloria; Liefgreen, Alice; Maguire, Eleanor A.",1
Q6FWELR6,2790290471,investigating the incremental validity of cognitive variables in early mathematics screening,2018,"Clarke, Ben; Shanley, Lina; Kosty, Derek; Baker, Scott K.; Cary, Mari Strand; Fien, Hank; Smolkowski, Keith",1
68WZNJLE,1989840934,individual differences in ran and reading a response timing analysis,2005,"Clarke, Paula; Hulme, Charles; Snowling, Margaret",1
UEC8MBN9,2062824634,social exclusion and stereotyping why and when exclusion fosters individuation of others,2014,"Claypool, Heather M.; Bernstein, Michael J.",1
5ZPGBEP6,2948977444,a longitudinal study of early reading development letter sound knowledge phoneme awareness and ran but not letter sound integration predict variations in reading development,2019,"Clayton, Francina J.; West, Gillian; Sears, Claire; Hulme, Charles; Lervåg, Arne",1
WITT4BB4,2788668754,automaticity of access to numerical magnitude and its spatial associations the role of task and number representation,2019,"Cleland, Alexandra A.; Bull, Rebecca",1
