iteration,ID,Title,Year,Authors,Journal,Pub_type,Citation_count,References_count,abstract
1,1959715655,assessing letter sound knowledge a comparison of letter sound fluency and nonsense word fluency,2008,kristen d ritchey,exceptional children,1,30,20,"This article compares 2 fluency-based assessments of letter sound knowledge: letter sound fluency and nonsense word fluency (NWF). Ninety-one children were administered both assessments 5 times during the second half of kindergarten. The assessments were comparable for concurrent and predictive criterion-related validity at single points. The ability to accurately identify which students were at risk for reading difficulty using a single assessment point was examined using established and modified benchmarks. Additionally, 2 scores were analyzed for NWF: total number of sounds and number of sounds blended together in words. Students' responses to NWF varied within and across assessment points. This variability should be considered when NWF is used to make progress monitoring decisions about beginning readers."
1,1962122626,an investigation of phonological awareness skills of learners with reading disorders in class six in selected schools in nairobi county,2015,stephen ochieng orago,NA,0,0,229,"This study set out to investigate the phonological awareness skills of learners with reading disability. When one is considered a normal reader, he or she does not encounter much difficulty in reading and understanding texts. There are, however, children who have problems with phoneme identification and thus do not read well and they also have difficulties in comprehending texts. These learners should be identified and be assisted so that they can proceed with their learning lives. This study was guided by the following objectives: to investigate phonological awareness of learners with reading disability; to establish the correlation among the various measures of phonological awareness and to determine the significance of rapid automatic naming in reading. A sample of pupils in class six from the selected schools in Nairobi County was used in the study. Phonological awareness skills of these learners were tested to find out the nature of their awareness and skills in the tasks that were given. This study adopted an eclectic theoretical approach. The following theories guided the study: the Phonological Awareness Theory which states that reading based on the alphabetic system requires that readers be aware that words are made up of individual sounds and the Rapid Naming Theory which states that a good reader is one who has the ability to recall quickly and verbalize the names of presented objects which could also be individual alphabetical letters. The data were obtained from tape - recorded texts from the respondents and analysed to establish their nature of phonological awareness. Descriptive statistics which includes measures of central tendency and measures of correlation were used to summarize and describe the data. Tape recorded data were transcribed, analysed and then discussed. The results indicate that the respondents displayed phonological awareness skills in some PA tasks and experienced difficulties in some of the PA tasks. The study also found that there was no significant difference between the genders in their performances in the phonological awareness tasks. Various deficits in phonological awareness were also observed. These were categorized as mis-articulations of substitution, phoneme deletion, phoneme insertion, reading of the entire word instead of identifying the sounds; spelling the words; atypical and segmentation. It was also noted that there were correlations among the various measures of phonological awareness and absence of correlation among others. This showed that pupils have to be taught in all the measures for them to have phonological awareness skills. The study also looked at the significance of naming speed (RAN) in reading. It was observed that there were no significant differences in the time taken across the age groups and across the genders in the carrying out of the phonological awareness tasks."
1,1964879769,dimensionality and reliability of letter writing in 3 to 5 year old preschool children,2013,"cynthia s puranik, yaacov petscher, christopher j lonigan",learning and individual differences,1,22,54,"The primary purpose of this study was to examine the dimensionality and reliability of letter writing skills in preschool children with the aim of determining whether a sequence existed in how children learn to write the letters of the alphabet. Additionally, we examined gender differences in the development of letter writing skills. 471 children aged 3 to 5 years old completed a letter writing task. Results from factor analyses indicated that letter writing represented a unidimensional skill. Similar to research findings that the development of letter-names and letter-sound knowledge varies in acquisition, our findings indicate that the ability to write some letters is acquired earlier than the ability to write other letters. Although there appears to be an approximate sequence for the easiest and most difficult letters, there appears to be a less clear sequence for letters in the middle stages of development. Overall, girls had higher letter writing scores compared to boys. Gender differences regarding difficulty writing specific letters was less conclusive; however, results indicated that when controlling for ability level, girls had a higher probability of writing a letter correctly than boys. Implications of these findings for the assessment and instruction of letter writing are discussed."
1,1965037317,a comparison of responsive interventions on kindergarteners early reading achievement,2012,"mary e little, dann rawlinson, deborah c simmons, minjung kim, oiman kwok, shanna haganburke, leslie e simmons, melissa fogarty, eric l oslund, michael d coyne",learning disabilities research and practice,1,10,18,"This study compared the effects of Tier 2 reading interventions that operated in response-to-intervention contexts. Kindergarten children (N = 90) who were identified as at risk for reading difficulties were stratified by school and randomly assigned to receive (a) Early Reading Intervention (ERI; Pearson/Scott Foresman, 2004) modified in response to student performance or (b) their schools’ typical supplemental reading intervention (regrouping and curriculum pacing adjustments). In both conditions, intervention was provided 30 minutes per day in small groups for approximately 100 sessions. Results indicated no statistically significant group differences on any outcome measures. Between-group effect sizes revealed substantively important differences (Valentine & Cooper, 2003) favoring the ERI responsive condition on multiple measures with effect sizes ranging from .35 to .59. Overall, findings indicated that the majority of students in both Tier 2 intervention conditions performed above the 30th percentile on posttest measures of word reading measures."
1,1966900462,effects of home literacy parents beliefs and children s task focused behavior on emergent literacy and word reading skills,2008,"kathy stephenson, rauno parrila, george k georgiou, john r kirby",scientific studies of reading,1,98,52,"We examined the effects of home literacy (shared book reading, teaching activities, and number of books), children's task-focused behavior, and parents' beliefs and expectations about their child's reading and academic ability on kindergarten children's (N = 61) phonological sensitivity and letter knowledge and on Grade 1 word reading. The results showed that, after controlling for nonverbal IQ and vocabulary, home literacy instruction prior to kindergarten, parents' beliefs about their children's reading ability, and children's task-focused behavior were significant predictors of two or more of the dependent variables. Storybook reading did not account for unique variance in any of the dependent variables."
1,1967204270,relations among reading skills and sub skills and text level reading proficiency in developing readers,2012,"roxanne f hudson, roxanne f hudson, joseph k torgesen, holly b lane, stephen j turner",reading and writing,1,33,71,"Despite the recent attention to text reading fluency, few studies have studied the construct of oral reading rate and accuracy in connected text in a model that simultaneously examines many of the important variables in a multi-leveled fashion with young readers. Using Structural Equation Modeling, this study examined the measurement and structural relations of the rate and accuracy of variables important in early reading: phonemic blending, letter sounds, phonograms, decoding, single-word reading, reading comprehension, and text reading as well as reading comprehension among second grade readers. The effects from phonemic blending fluency and letter sound fluency to decoding were completely mediated by phonogram fluency, decoding fluency, single-word reading fluency, and reading comprehension had direct effects on the text reading fluency of the second grade students. Understanding the relationship among the many component skills of readers early in their reading development is important because a deficiency in any of the component skills has the potential to affect the development of other skills and, ultimately, the development of the child as a proficient reader."
1,1968298559,literacy as a unidimensional multilevel construct validation sources of influence and implications in a longitudinal study in grades 1 to 4,2005,"paras d mehta, barbara r foorman, lee branummartin, w patrick taylor",scientific studies of reading,1,113,31,"This study examined the extent to which literacy is a unitary construct, the differences between literacy and general language competence, and the relative roles of teachers and students in predicting literacy outcomes. Much of past research failed to make a distinction between variability in outcomes for individual students and variability for outcomes in the classrooms students share (i.e., the classroom level). Utilizing data from 1,342 students in 127 classrooms in Grades 1 to 4 in 17 high-poverty schools, confirmatory factor models were fit with single- and two-factor structures at both student and classroom levels. Results support a unitary literacy factor for reading and spelling, with the role of phonological awareness as an indicator of literacy declining across the grades. Writing was the least related to the literacy factor but the most impacted by teacher effects. Language competence was distinct at the student level but perfectly correlated with literacy at the classroom level. Implications f..."
1,1969250742,estimulacao em consciencia fonemica e seus efeitos em relacao a variavel sexo,2009,"simone raquel sbrissa moura, carolina lisboa mezzomo, carla aparecida cielo",NA,0,24,19,"BACKGROUND: phonemic awareness stimulation and the comparison of its effects between genders. AIM: to determine the possible gain in performance in tasks involving phonemic awareness skills in boys and girls, following the development of a program to stimulate phonemic awareness. METHOD: participants were 18 boys and 18 girls, all with typical language development, in their second grade of Elementary Education. The study involved three steps. The first and third steps consisted of an auditory screening, speech and language assessments and the assessment of phonemic awareness skills, through the Phonological Awareness Tasks Protocol. The second step involved the planning of the phonological awaress stimulation program and its application in the classroom. RESULTS: boys and girls presented an improvement in their performance in all of the phonological awareness tasks after the application of the stimulation program; this improvement was statistically significant. Regarding the influence of gender, it was observed that prior to the application of the stimulation program, there was a significant difference between boys and girls in the task involving the detection of a phoneme in the last position. After stimulation, this difference remained significant in the same task, and was also statistically significant for the tasks of phonemic segmentation of words with six phonemes and phoneme reversion of words with two or three phonemes. CONCLUSION: it is observed that girls performed better in the majority of the phonemic awareness tasks, and that the program was effective in stimulating these tasks."
1,1969550289,immediate effects of a school readiness intervention for children in foster care,2013,"katherine c pears, philip a fisher, hyoun kyoung kim, jacqueline bruce, cynthia v healey, karen yoerger",early education and development,1,46,52,"Research Findings: School readiness is a strong predictor of adjustment in elementary school and beyond. Children in foster care are at particular risk for academic and social difficulties in school. Limitations in self-regulatory skills and caregiver involvement among these children might contribute to a lack of school readiness. This study presents the immediate effects on school readiness of a targeted, short-term intervention designed to improve children's early literacy, prosocial, and self-regulatory skills during the summer before kindergarten entry: Kids in Transition to School. Using a randomized controlled trial design, we assigned 192 children in foster care to either an intervention or services as usual comparison condition. Multimethod, multi-informant assessments were conducted immediately prior to and following the completion of the intervention. The results from structural equation modeling indicated that the intervention had significant positive effects on early literacy and self-regulato..."
1,1970181216,the nature of phonological awareness throughout the elementary grades an item response theory perspective,2009,"judith vloedgraven, ludo verhoeven",learning and individual differences,1,30,56,"In the present study, the nature of Dutch children's phonological awareness was examined throughout the elementary school grades. Phonological awareness was assessed using five different sets of items that measured rhyming, phoneme identification, phoneme blending, phoneme segmentation, and phoneme deletion. A sample of 1405 children from kindergarten through fourth grade participated. Results of modified parallel analysis and analyses within the context of item response theory (IRT) showed phonological awareness to be unidimensional across different tasks and grades. Despite the evidence for a single underlying ability, the cognitive task requirements for the various tasks were found to differ. In addition to some overlap between the item sets, those for rhyming, phoneme identification, and phoneme blending were easier than those for phoneme segmentation and phoneme deletion. The results lend support to the assumption that phonological awareness is a continuum of availability for phonological representations which can range from partial availability (i.e., access) to full availability (i.e., access)."
1,1973673460,tracing student responsiveness to intervention with early literacy skills indicators do they reflect growth toward text reading outcomes,2012,"nathan h clemens, alexandra hiltpanahon, edward s shapiro, myeongsun yoon",reading psychology,1,5,32,"This study investigated four widely-used early literacy skills indicators in reflecting growth toward first-grade text reading skills. Examining the progress of 101 students across kindergarten and first grade, Letter Naming Fluency (LNF) and Nonsense Word Fluency (NWF) were more accurate than Initial Sounds Fluency and Phoneme Segmentation Fluency in discriminating between students grouped according to successful or unsuccessful first-grade reading outcomes. LNF and NWF slope also discriminated between groups, but graphed observed scores suggested potential problems in identifying students with persistently low achievement. Results suggest the need for continued refinement of early literacy skills measures for instructional decision-making."
1,1974341837,educational outcomes in extremely preterm children neuropsychological correlates and predictors of attainment,2011,"samantha johnson, dieter wolke, enid hennessy, neil marlow",developmental neuropsychology,1,142,92,"This study assessed the impact of extremely preterm birth on academic attainment at 11 years of age, investigated neuropsychological antecedents of attainment in reading and mathematics, and examined early predictors of educational outcomes. Children born extremely preterm had significantly poorer academic attainment and a higher prevalence of learning difficulties than their term peers. General cognitive ability and specific deficits in visuospatial skills or phoneme deletion at 6 years were predictive of mathematics and reading attainment at 11 years in both extremely preterm and term children. Phonological processing, attention, and executive functions at 6 years were also associated with academic attainment in children born extremely preterm. Furthermore, social factors, neonatal factors (necrotizing enterocolitis, breech delivery, abnormal cerebral ultrasound, early breast milk provision), and developmental factors at 30 months (head circumference, cognitive development), were independent predictors ..."
1,1976978405,early math matters kindergarten number competence and later mathematics outcomes,2009,"nancy c jordan, david kaplan, chaitanya ramineni, maria n locuniak",developmental psychology,1,461,55,"Children’s number competencies over 6 time points, from the beginning of kindergarten to the middle of 1st grade, were examined in relation to their mathematics achievement over 5 later time points, from the end of 1st grade to the end of 3rd grade. The relation between early number competence and mathematics achievement was strong and significant throughout the study period. A sequential process growth curve model showed that kindergarten number competence predicted rate of growth in mathematics achievement between 1st and 3rd grades as well as achievement level through 3rd grade. Further, rate of growth in early number competence predicted mathematics performance level in 3rd grade. Although low-income children performed more poorly than their middle-income counterparts in mathematics achievement and progressed at a slower rate, their performance and growth were mediated through relatively weak kindergarten number competence. Similarly, the better performance and faster growth of children who entered kindergarten at an older age were explained by kindergarten number competence. The findings show the importance of early number competence for setting children’s learning trajectories in elementary school mathematics."
1,1977851457,die pradiktion von leseleistungen bei turkisch deutschsprachigen kindern die rolle der phonologischen bewusstheit,2013,"dagmar duzy, andreas gold, wolfgang schneider, elmar souvignier",zeitschrift fur padagogische psychologie,1,0,33,"In vielen Studien erwies sich die phonologische Bewusstheit als bedeutsamer Pradiktor fur die Leseleistungen einsprachiger Kinder. Allerdings ist unklar, ob die Leseleistungen turkisch-deutschsprachiger Kinder in gleichem Mase durch diesen Faktor vorhergesagt werden konnen. In einer Langsschnittstudie nahmen 112 turkisch-deutschsprachige und 111 rein deutschsprachige Kinder ab dem Vorschulalter an Erhebungen zu Vorlauferfertigkeiten des Schriftspracherwerbs sowie in der 1. und 2. Klassenstufe an Erfassungen der Dekodiergeschwindigkeit teil. Regressionsanalysen zeigten, dass die phonologische Bewusstheit in beiden Sprachgruppen einen unterschiedlichen Beitrag zur Aufklarung der Dekodiervarianz leistete. Fur die rein deutschsprachigen Kinder erwies sich die vorschulisch erfasste phonologische Bewusstheit in beiden Klassenstufen als bedeutsamer Pradiktor der Dekodiergeschwindigkeit. Bei der Pradiktion der Dekodiergeschwindigkeit der turkisch-deutschsprachigen Kinder erwies sich die phonologische Bewusstheit ..."
1,1980362745,beginning english literacy development and achievement among spanish speaking children in arizona s english only classrooms a four year two cohort longitudinal study,2014,"oscar jimenezcastellanos, jay blanchard, kim atwill, margarita jimenezsilva",international multilingual research journal,1,5,69,"This study examined beginning English literacy-skill development and achievement among Spanish-speaking children enrolled in state-mandated English-only classrooms. The children possessed Spanish skill at or above age-appropriate level, yet minimal English skill, and came from a Spanish-speaking community adjacent to the U.S.-Mexico border. Under its English-only law, the state-mandated classroom instruction is only in English through a structured English immersion model (SEI) using state-regulated and supervised four-hour English language development blocks for these children. Using secondary analysis of existing data, children’s English vocabulary, phonemic awareness, word-reading fluency scores, as well as their English reading and language achievement scores were examined for four years with two separate cohorts of children, beginning with their entry into kindergarten and ending at third grade (K–3rd). Analyses indicated that English-only SEI instruction for children did not result in age- or grade-l..."
1,1980600287,the interrelationships of mathematical precursors in kindergarten,2011,paul t cirino,journal of experimental child psychology,1,95,75,"Previous efforts have evaluated several potential predictors of mathematical performance in children at the kindergarten level (Geary, Hoard, & Hamson, 1999; Geary, Hamson, & Hoard, 2000; Gersten, Jordan, & Flojo, 2005; Jordan, Kaplan, Olah & Locuniak, 2006; Jordan, Kaplan, Locuniak & Ramineni, 2007; Koponen, Aunola, Ahonen, & Nurmi, 2007; Stock, Desoete, & Roeyers, 2007). Predictors that involve an understanding of quantity, that utilize counting, or that in some way tap “number sense” have recently received much attention, although subdivisions within this area are not always clear. In contrast to such number or quantitative predictors, there is also a large body of research that implicates non-quantitative cognitive skills, particularly domain general skills such as working memory, in the expression of math skill (e.g., Bull, Espy, & Wiebe, 2008; Geary, 2004; Swanson, 2006; Swanson, Jerman, & Zheng, 2008). Language and reading skills are also frequently implicated in discussions of math ability and disability in general (Jordan & Hanich, 2003; Jordan, Kaplan, & Hanich, 2002; Geary, 1993; Gersten et al., 2005), with several studies specifically assessing the role of phonological skills or other reading related skills such as rapid naming as predictors of mathematical outcomes (Geary, Hoard, Byrd-Craven, Nugent, & Numtee, 2007; Hecht, Torgesen, Wagner, & Rashotte, 2001; Krajewski & Schneider, 2009).

While many studies evaluate the relationships of the above types of precursors to math, there are a much smaller number that evaluate them in a multivariate context, and still fewer that do so in the context of a comprehensive model. Thus, little is known about how these sets of precursors relate to one another, which has implications for the extent to which they may have unique contributions to math performance. Recently, however, LeFevre and colleagues (LeFevre, Fast, Skwarchuck, Smith-Chant, Bisanz et al., in press) have proposed a model (the “pathways” model) relating the three types of precursors described above to mathematical achievement, and this serves as a framework for the present study. The current study contributes to existing research by: (a) evaluating the three pathways of LeFevre et al. (in press) at the level of latent rather than observed variables; (b) assessing the quantity domain comprehensively and distinguishing between core and mediating precursors therein; (c) establishing the relationship of these latent variables to a measure of small sums addition; and (d) examining performance in a relatively large and diverse sample at the kindergarten level, after students have been exposed to a formal learning environment, but have not yet completed development of their procedural arithmetic skills. Understanding what predicts early mathematical performance is crucial given the importance of these skills for more complex mathematical skill many years later (Duncan et al., 2007)."
1,1982238860,relacao entre desempenho em consciencia fonologica e a variavel sexo um estudo com criancas pre escolares,2008,"carla andreazzabalestrin, carla aparecida cielo, cristiane lazzarotto, cristiane lazzarotto",revista da sociedade brasileira de fonoaudiologia,1,21,13,"PURPOSE: To analyze the performance in phonological awareness tasks (PA), according to sex and writing hypothesis. METHODS: Forty-three preschool children - 19 male and 24 female - were submitted to a complete speech-language pathology screening, and carried out an evaluation of their writing level and their PA abilities. The data were statistically analyzed using Two-Way and One-Way ANOVA. RESULTS: As a result, there was a statistically significant relationship between PA and gender in subjects with syllabic-alphabetical and alphabetical writing levels. Awareness for words was more developed among male subjects, while female individuals had significantly better performances in syllabic segmentation tasks with three-syllable words, which evidenced their better abilities in dealing with syllabic analysis. CONCLUSIONS: It's concluded that the female subjects showed greater ability to analyze smaller units in longer words, which might suggest a possible relationship between the low rate of phonological deviations in female individuals and their better performance in PA."
1,1983964266,predicting first grade reading achievement for spanish speaking kindergartners is early literacy screening in english valid,2014,"karen l ford, marcia invernizzi, francis l huang",literacy research and instruction,1,3,68,"This study explored the viability of using kindergarten measures of phonological awareness, alphabet knowledge, and orthographic knowledge, administered in English, to predict first grade reading achievement of Spanish-speaking English language learners. The primary research question was: Do kindergarten measures of early literacy skills in English predict first grade reading achievement for Spanish-speaking students as effectively as they do for English speakers? Participants were 3,448 economically disadvantaged students (50% spoke Spanish at home) from 243 schools. Regression analyses demonstrated that kindergarten variables accounted for similar percentages of variance in first grade reading for both Spanish speakers (43% in fall, 46% in spring) and non-Spanish speakers (49% in fall, 46% in spring) and that fall and spring variables were equally effective in predicting later achievement for both groups."
1,1984375521,cognitive and reading profiles of two samples of canadian first nations children comparing two models for identifying reading disability,2013,"troy janzen, donald h saklofske, j p das",canadian journal of school psychology,1,3,43,"Two Canadian First Nations samples of Grades 3 and 4 children were assessed for cognitive processing, word reading, and phonological awareness skills. Both groups were from Plains Cree rural reservations in different provinces. The two groups showed significant differences on several key cognitive variables although there were more similarities than differences. Groups, separately and combined, showed a significant relationship between decoding, phonological awareness variables, word decoding, and successive processing that has also been observed among children from the mainstream culture. In general, the cognitive processing, reading, and reading subskills of First Nations children are, on average, below the norms for these measures. The findings are discussed in terms of reading disability identification practices from a Discrepancy Model and the Consistency–Discrepancy Model using PASS (Planning, Attention, Simultaneous, and Successive) theory among First Nations children."
1,1984387787,predicting reading success in a multilevel schoolwide reading model a retrospective analysis,2008,"david j chard, mike stoolmiller, beth harn, jeanne wanzek, sharon vaughn, sylvia linanthompson, edward j kameenui",journal of learning disabilities,1,59,46,"Despite recent research findings that implicate a long list of student variables that predict reading success or failure, these predictor variables have not been considered in the context of contemporary models of multitiered schoolwide reading intervention. This longitudinal, retrospective study follows 668 kindergarten and first-grade students identified as at risk for later reading difficulties through third grade. Key predictor variables were examined to determine their validity for predicting initial status and growth on oral reading fluency, third-grade oral reading fluency, and third-grade performance on a standardized test of reading. Results are provided in light of the instructional model provided. Implications for instruction and assessment are discussed."
1,1986436531,reading does not depend on writing even in chinese,2009,"yanchao bi, zaizhu han, yumei zhang",neuropsychologia,1,21,40,"A recent hypothesis proposes that reading depends on writing in a logographic language - Chinese. We present a Chinese individual (HLD) with brain damage whose profile challenges this hypothesis. HLD was severely impaired in the whole process of writing. He could not access orthographic knowledge, had poor orthographic awareness, and was poor at delayed- and direct-copying tasks. Nevertheless, he was perfect at visual word-picture matching and read aloud tasks, indicating his intact ability to access both the semantics and phonology in reading. He was also able to distinguish between fine visual features of characters. We conclude that reading does not depend on writing, even in Chinese."
1,1986968112,habilidades em consciencia fonologica diferencas no desempenho de meninos e meninas,2011,"carla andreazzabalestrin, carla aparecida cielo, cristiane lazzarotto volcao, sabrina schutzenhofer lasch",revista cefac,1,2,22,"PURPOSE: to check possible differences among pre-school boys and girls in literacy process, regarding their performance in Phonological Awareness (PA) tasks. METHOD: 75 boys and 88 girls, aged between 5:6 and 8:0, submitted to an assessment involving a form sent to the parents, a complete speech and language screening, the assessment of the intellectual and writing levels and the abilities in phonological awareness (PA). For a statistical data analysis we applied the Two-Way ANOVA, Tukey and T-Student tests. RESULTS: girls showed a positive significance in the tasks: syllabic segmentation with four syllable words (p=0.03); syllabic detection in the initial position (p=0.05), final position (p=0.01) and intermediary position (p=0.04). In the percentage analysis of the average in correct answers per task, boys' performance was only higher in tasks of sentence segmentation in words, with two (average=7.52), three (average=5.79), four (average=4.56), five (average=3.93) and six words (average=3.56) and in the nominal realism (average=8.93). CONCLUSION: we found a significant superior performance of the girls in the tasks of syllabic detection and syllabic segmentation with four-syllable words. In a qualitative analysis, girls obtained higher averages in all tasks of awareness and rhymes, syllables and phonemes."
1,1990289074,naming speed and reading from prediction to instruction,2010,"john r kirby, george k georgiou, rhonda martinussen, rauno parrila",reading research quarterly,1,178,151,"Current theoretical interpretations of naming speed and the research literature on its relation to reading are reviewed in this article. The authors examine naming speed's effects across languages and the shape of its relationship to reading. Also considered is the double-deficit hypothesis, by which students with both slow naming speed and low phonological awareness are hypothesized to be most at-risk for reading disability. Finally, the instructional literature regarding attempts to improve naming speed and use of naming speed as a predictor of response to intervention is reviewed. The authors conclude that naming speed is uniquely associated with a range of reading tasks across orthographies, and that early identification would be improved by the inclusion of naming speed measures. The poor response to instruction of students who have slow naming speed should be considered when designing interventions. Further work is required to specify the theoretical nature of naming speed and to determine how to help students with slow naming speed.

لقد تمت مراجعة التفسيرات النظرية الجارية تجاه سرعة التحديد والأبحاث العلمية بشأن علاقتها بالقراءة في هذه المقالة. إذ يفحص المؤلفون تأثيرات سرعة التحديد عبر اللغات وشكل علاقتها بالقراءة. كما تم الأخذ في الاعتبار نظرية النقصان المتضاعف التي تقول لما يجمع البطء في سرعة التحديد والوعي الضعيف في الصوتيات عند الطالب فيفترض أنه في خطر من العجز في القراءة. وفي الختام تمت مراجعة الأبحاث التعليمية المتعلقة بالمساعي في تحسين سرعة التحديد واستخدام سرعة التحديد كمنبئ للإجابة للتدخل. وينتهي المؤلفون إلى أن سرعة التحديد متعلقة بشكل فريد بمدى من واجبات القراءة عبر الخطوط وأن التعريف المبكر سيتحسن من خلال انضمان مقاييس سرعة التحديد. ويفترض أن الاستجابة الضعيفة لتعليم الطلاب الذين يعانون من سرعة التحديد البطيئة أن يأخذهم بعين الاعتبار عند تصميم التدخلات. وهذا يتطلب أكثر جهد لتعريف طبيعة نظرية سرعة التحديد وتعيين كيفية مساعدة الطلاب الذين عندهم سرعة التحديد البطيئة.

本文评审现时有关命名速度的理论解释及命名速度与阅读之关系的文献。作者首先考查在不同的语言中命名速度的影响力及命名速度与阅读之关系的情形；继而探讨双缺失这个假设，也就是命名速度慢及语音意识低的学生最容易有阅读障碍的假设。最后作者评审教学文献，考查提高命名速度及使用命名速度作为干预教学效应预测因子的尝试。作者在结论中指出：在不同的语言表音方式中，命名速度与一系列的阅读学习任务均具有独特的关联；把命名速度评估纳入考核测试中会有助改善命名速度能力的早期鉴定；在设计干预教学时应考虑到命名速度慢的学生对教学反应差的问题；以及有需要进一步研究命名速度的理论性质，及确定帮助命名速度慢的学生的方法。

On analyse dans cet article les interpretations theoriques courantes de la vitesse de denomination et la litterature de recherche concernant ses relations avec la lecture. Les auteurs analysent les effets de la vitesse de lecture a travers les langues et la forme de sa relation a la lecture. On analyse egalement l'hypothese du double deficit selon laquelle les eleves ayant a la fois une vitesse de denomination lente et une conscience phonologique faible sont consideres comme presentant le plus de risques de difficultes en lecture. On analyse enfin la litterature pedagogique sur les essais d'amelioration de la vitesse de lecture et d'utilisation de la vitesse de denomination comme predicteur de la reponse a l'intervention. Les auteurs concluent que la vitesse de denomination est associee uniquement a un ensemble de tâches de lecture liees a l'orthographe, et que l'identification precoce pourrait etre amelioree si elle incluait des evaluations de la vitesse de lecture. Les reponses mediocres des eleves qui ont une vitesse de denomination lente devraient etre prises en consideration lors de la planification des interventions. D'autres travaux sont necessaires pour preciser la nature de la vitesse de denomination sur le plan theorique et pour determiner comment proceder pour aider les eleves qui ont une faible vitesse de denomination.

В статье рассматриваются современные теоретические взгляды на проблему, связанную со скоростью называния предметов, и исследования, посвященные связям подобной проблемы с навыками чтения. Авторы изучают разнообразные проявления этих связей на примере различных языков. Помимо прочего рассматривается гипотеза “двойного дефицита”, согласно которой ученики с низкой скоростью называния предметов и низкой способностью различения звуков считаются наиболее вероятными кандидатами в группу слабо читающих детей. И, наконец, рассматривается учебная литература, где описаны попытки повысить скорость называния предметов, поскольку она принята за индикатор потенциальной реакции на любое вмешательство. Выводы авторов состоят в том, что скорость называния предметов корректируется исключительно сочетанием заданий по чтению и орфографии и такие задания способствуют раннему выявлению проблем с чтением. При планировании учебного вмешательства следует учитывать, с какой скоростью ученики способны называть предметы. Требуются дальнейшие исследования, чтобы окончательно определить теоретическую подоснову этого навыка и характер помощи, в которой нуждаются ученики с низкой скоростью называния предметов.

En este articulo se examinan las interpretaciones teoricas mas recientes de la rapidez de nombrar y la literatura sobre la investigacion en cuanto a su relacion con la lectura. Los autores examinan el efecto de la rapidez de nombrar a traves de los idiomas y la forma en que se relaciona a la lectura. Tambien se examina la hipotesis de la doble deficiencia, la cual considera que los estudiantes lentos al nombrar y de poca conciencia fonologica estan a alto riesgo de tener dificultades con la lectura. Por ultimo, se revisa la literatura instruccional sobre los intentos de mejorar no solo la rapidez de nombrar sino tambien su uso como predictor de dificultades al leer. Los autores llegan a la conclusion que la rapidez de nombrar tiene una relacion especial con una serie de tareas de lectura a traves de las ortografias, y que se mejoraria la identificacion temprana si se incluyeran medidas de la rapidez de nombrar. La poca respuesta a la instruccion de estudiantes de baja rapidez de nombrar se debe tomar en cuenta al disenar intervenciones. Se necesitan mas estudios para especificar la base teorica de la rapidez de nombrar y para determinar como ayudar a los estudiantes con una baja rapidez de nombrar."
1,1990519216,individual differences in second language reading outcomes,2011,"caroline erdos, fred genesee, robert savage, corinne a haigh",international journal of bilingualism,1,29,59,"This study examined whether individual variance in letter-name knowledge and phonological processing assessed in English (L1) in kindergarten French immersion students predicts their French (L2) decoding and reading comprehension scores at the end of grade 1; whether L2 oral language factors also contribute significantly to predictions of variability in L2 reading outcomes beyond knowledge of the alphabet and phonological processing; and whether the Simple View of Reading — SVR — (Gough & Tunmer, 1986) applies cross-linguistically as well as intra-linguistically. We administered a comprehensive battery of predictor tests that have been correlated with L1 decoding and comprehension skills in English to English-speaking students in early total French immersion at the beginning and end of kindergarten. Tests of word and pseudo-word decoding and reading comprehension in French were given at the end of grade 1. The best kindergarten predictors of L2 decoding were knowledge of the alphabetic principle in English, phonological awareness in English, and knowledge of French at kindergarten entry. The same variables were significant predictors of French reading comprehension, with the added contribution of scores related to oral language skills in L1. The results provide support for the SVR intra-linguistically, but not cross-linguistically."
1,1990775580,prediction of reading comprehension of elementary students a 20 month longitudinal study,2013,ae hwa kim,journal of college student development,1,1,52,NA
1,1993575155,the influence of spanish vocabulary and phonemic awareness on beginning english reading development a three year k 2nd longitudinal study,2015,"michael f kelley, mary f roe, jay blanchard, kim atwill",journal of research in childhood education,1,3,44,"This investigation examined the influence of varying levels of Spanish receptive vocabulary and phonemic awareness ability on beginning English vocabulary, phonemic awareness, word reading fluency, and reading comprehension development across kindergarten through second grade. The 80 respondents were Spanish speaking children with no English language skills at the start of kindergarten and varying attainments in Spanish. They were divided into four groups based on Spanish-language ability in receptive vocabulary and phonemic awareness. Analyses of the group’s scores on an array of assessments in English revealed four significant results: (1) the development of English vocabulary favored the groups with at or above Spanish receptive vocabulary, (2) Spanish phonemic awareness helped the acquisition of English phonemic awareness but appeared not to influence other assessment results unless combined with Spanish receptive vocabulary, (3) the advantages of Spanish phonemic awareness in the absence of Spanish r..."
